Core, 0
Cumulative Cycles, 1056                
Cumulative Instructions, 49                  
Cumulative IPC, 0.04640
Periodic Cycles, 1056                
Periodic Instructions, 49                  
Periodic IPC, 0.04640

EXECUTION_TIME_count,     330000000
EXECUTION_TIME_total_count,     330000000

NODE_CYCLE_count,          1056
NODE_CYCLE_total_count,          1056

NODE_INST_COUNT_count,            49
NODE_INST_COUNT_total_count,            49

NODE_INST_COUNT_FETCHED_count,             0
NODE_INST_COUNT_FETCHED_total_count,             0

NODE_UOP_COUNT_count,            66
NODE_UOP_COUNT_total_count,            66

FULL_WINDOW_STALL_count,             0
FULL_WINDOW_STALL_pct,        0.000
FULL_WINDOW_STALL_total_count,             0
FULL_WINDOW_STALL_total_pct,        0.000

FULL_WINDOW_MEM_OP_count,             0
FULL_WINDOW_MEM_OP_pct,         -nan
FULL_WINDOW_MEM_OP_total_count,             0
FULL_WINDOW_MEM_OP_total_pct,         -nan

FULL_WINDOW_FP_OP_count,             0
FULL_WINDOW_FP_OP_pct,         -nan
FULL_WINDOW_FP_OP_total_count,             0
FULL_WINDOW_FP_OP_total_pct,         -nan

FULL_WINDOW_OTHER_OP_count,             0
FULL_WINDOW_OTHER_OP_pct,         -nan
FULL_WINDOW_OTHER_OP_total_count,             0
FULL_WINDOW_OTHER_OP_total_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_count,             0
FULL_WINDOW_OTHER_OP_sum_pct,         -nan
FULL_WINDOW_OTHER_OP_sum_total_count,             0
FULL_WINDOW_OTHER_OP_sum_total_pct,         -nan
FULL_WINDOW_OTHER_OP_mean,         -nan
FULL_WINDOW_OTHER_OP_stddev,         -nan
FULL_WINDOW_OTHER_OP_total_mean,         -nan
FULL_WINDOW_OTHER_OP_total_stddev,         -nan

RET_BLOCKED_DC_MISS_count,           677
RET_BLOCKED_DC_MISS_pct,       64.110
RET_BLOCKED_DC_MISS_total_count,           677
RET_BLOCKED_DC_MISS_total_pct,       64.110

RET_BLOCKED_L1_MISS_count,           520
RET_BLOCKED_L1_MISS_pct,       49.242
RET_BLOCKED_L1_MISS_total_count,           520
RET_BLOCKED_L1_MISS_total_pct,       49.242

RET_BLOCKED_L1_MISS_BW_PREF_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.000
RET_BLOCKED_L1_MISS_BW_PREF_total_count,             0
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.000

RET_BLOCKED_L1_ACCESS_count,           157
RET_BLOCKED_L1_ACCESS_pct,       14.867
RET_BLOCKED_L1_ACCESS_total_count,           157
RET_BLOCKED_L1_ACCESS_total_pct,       14.867

RET_BLOCKED_MEM_STALL_count,           520
RET_BLOCKED_MEM_STALL_pct,       49.242
RET_BLOCKED_MEM_STALL_total_count,           520
