Instruction Tuple,finagle-chirper,mediawiki,finagle-http,python,mysql,tomcat,wordpress,cassandra,verilator,clang,kafka
"CF_BR,CF_CBR",0.0,0.13,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
"CF_BR,CF_BR",0.0,0.1,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.01
"ALU,CALL",0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PUSH,CALL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CALL,CF_CBR",0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PUSH,CF_BR",0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0
"CF_IBR,CF_CBR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_CBR,LOCK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_CBR,CALL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ALU,LOCK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MOV,LOCK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_BR,CF_IBR",0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.07,0.0
"CF_SYS,POP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MOV,CF_SYS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_IBR,CF_BR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ALU,CF_BR",0.2,0.53,0.07,0.22,0.1,0.27,0.51,0.0,0.13,0.15,0.09
"CF_CBR,MOV",4.96,4.71,5.84,5.05,2.03,4.46,12.54,13.81,2.69,7.1,3.49
"CALL,CALL",2.84,3.43,1.07,1.63,1.42,3.8,3.23,2.72,0.27,1.16,1.73
"CALL,MOV",1.97,1.72,0.51,7.19,0.4,2.86,1.41,0.38,0.25,2.29,0.26
"ALU,CF_CBR",6.6,9.19,2.57,8.91,2.98,6.72,8.24,8.45,12.16,4.04,5.18
"POP,ALU",0.72,0.63,0.46,15.75,0.41,0.72,1.57,1.32,0.0,0.89,0.7
"ALU,ALU",7.99,12.27,4.39,13.94,5.09,8.17,12.32,11.47,27.97,7.57,7.72
"MOV,CF_BR",0.78,1.25,0.27,0.51,0.34,0.0,1.1,0.58,0.33,0.3,0.37
"CF_IBR,MOV",0.05,0.08,0.02,0.03,0.02,0.04,0.08,0.0,0.0,0.04,0.02
"POP,CF_BR",0.12,0.19,0.05,0.06,0.11,0.24,0.17,0.03,0.0,0.06,0.04
"MOV,MOV",17.04,16.46,7.19,8.07,18.54,19.99,15.0,15.04,17.11,13.89,13.43
"PUSH,PUSH",4.48,4.28,1.67,1.95,3.49,5.79,4.26,0.85,0.16,2.48,1.07
"CF_BR,ALU",0.31,0.37,3.19,0.58,0.1,0.35,0.39,4.28,0.23,5.1,1.57
"CF_CBR,POP",0.11,0.01,0.02,0.07,0.0,0.01,0.01,1.7,0.0,0.69,1.37
"MOV,PUSH",7.58,0.2,15.01,0.01,12.64,1.18,0.68,0.09,0.0,5.08,1.08
"CF_CBR,CF_BR",0.11,0.16,0.04,0.06,0.06,0.1,0.14,0.11,2.95,0.11,0.08
"POP,PUSH",0.83,0.01,0.43,0.02,1.66,0.09,0.17,0.15,0.0,0.31,0.0
"ALU,CF_IBR",0.04,0.14,0.02,0.03,0.02,0.1,0.12,0.01,0.0,4.93,0.01
"MOV,CF_CBR",1.29,1.85,0.5,0.3,0.66,1.11,1.63,0.27,0.03,0.2,0.33
"PUSH,MOV",1.76,1.75,0.7,0.84,1.17,2.44,1.65,2.31,0.02,0.37,0.5
"CF_CBR,ALU",3.08,4.2,2.86,11.84,2.2,2.29,3.87,2.89,0.47,3.19,2.42
"POP,CALL",0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ALU,PUSH",2.67,0.38,1.53,0.02,0.09,0.08,0.35,0.07,0.0,1.17,0.66
"LOCK,LOCK",0.03,0.13,0.06,0.01,0.08,0.05,0.14,0.12,0.0,0.0,0.05
"ALU,MOV",7.63,11.59,4.59,4.92,3.89,6.8,8.84,9.85,17.43,8.86,6.5
"CF_CBR,CF_CBR",0.03,0.19,0.02,0.05,0.02,0.04,0.15,0.01,0.0,0.01,0.01
"PUSH,POP",0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
"POP,POP",5.05,6.39,2.02,2.67,3.39,6.64,6.18,2.21,0.0,2.66,1.94
"CALL,PUSH",2.0,0.04,9.5,0.0,4.02,0.5,0.05,4.04,0.0,0.2,0.1
"POP,CF_IBR",0.02,0.31,0.01,0.01,0.0,0.0,0.07,0.0,0.0,5.05,0.0
"PUSH,ALU",0.41,0.52,0.17,0.58,0.3,0.49,0.65,0.1,0.0,0.33,0.13
"CF_IBR,CF_IBR",0.02,0.23,0.04,0.14,0.03,0.03,0.21,0.03,0.01,0.04,0.02
"CALL,CF_BR",0.08,0.2,0.02,0.03,0.03,0.17,0.17,0.01,0.0,0.02,0.01
"MOV,CF_IBR",0.01,0.85,0.01,0.01,0.09,0.04,0.03,0.0,0.0,0.01,0.01
"CF_SYS,PUSH",0.01,0.0,0.02,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
"CALL,ALU",1.47,1.14,0.28,2.81,0.46,0.91,0.95,2.46,0.0,1.23,39.1
"CF_BR,PUSH",0.61,0.02,7.96,0.0,0.0,0.07,0.01,0.32,0.0,0.05,0.0
"LOCK,CF_CBR",0.01,0.06,0.03,0.0,0.03,0.01,0.06,0.04,0.0,0.0,0.02
"POP,CF_CBR",0.01,0.02,0.0,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.01
"LOCK,ALU",0.01,0.02,0.03,0.0,0.02,0.02,0.03,0.06,0.0,0.0,0.02
"CF_IBR,ALU",0.01,0.03,0.01,0.17,0.01,0.01,0.03,0.0,0.0,0.21,0.0
"CALL,POP",0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MOV,CALL",0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0
"LOCK,MOV",0.01,0.03,0.01,0.0,0.02,0.01,0.04,0.03,0.0,0.0,0.01
"MOV,ALU",9.0,12.05,3.39,9.21,11.89,20.48,10.83,9.21,17.17,10.65,7.28
"MOV,POP",0.07,0.08,0.01,0.0,0.18,0.06,0.0,0.0,0.0,0.12,0.01
"ALU,POP",0.14,0.0,0.36,0.0,0.01,0.04,0.01,0.07,0.0,0.49,0.01
"CF_BR,CALL",0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"POP,MOV",2.78,0.73,0.94,0.53,21.64,1.26,0.78,0.33,0.05,1.36,1.38
"CF_CBR,PUSH",4.24,0.41,9.38,0.03,0.02,0.08,0.21,4.0,0.0,0.76,0.83
"CF_CBR,CF_IBR",0.0,0.01,12.36,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
"PUSH,CF_CBR",0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
"LOCK,CF_BR",0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_IBR,PUSH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PUSH,CF_IBR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
"CF_SYS,MOV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_BR,POP",0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.0
"CF_SYS,ALU",0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.4,0.0
"LOCK,POP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_SYS,CF_BR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CALL,LOCK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_SYS,CF_CBR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ALU,CF_SYS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PUSH,LOCK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_IBR,CALL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_BR,MOV",0.0,0.65,0.26,0.49,0.25,0.54,0.63,0.35,0.31,1.27,0.3
"CALL,CF_IBR",0.0,0.17,0.06,0.0,0.07,0.0,0.0,0.0,0.0,3.03,0.0
"CF_SYS,CF_SYS",0.0,0.02,0.01,0.01,0.0,0.01,0.02,0.01,0.0,0.0,0.01
"LOCK,PUSH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_IBR,POP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_CBR,CF_SYS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LOCK,CALL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_SYS,CALL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CF_SYS,CF_IBR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
