Core, 0
Cumulative Cycles, 1056                
Cumulative Instructions, 49                  
Cumulative IPC, 0.04640
Periodic Cycles, 1056                
Periodic Instructions, 49                  
Periodic IPC, 0.04640

L2WAY_FILL_L1_count,             0
L2WAY_FILL_L1_total_count,             0

L2WAY_WAY_HIT_count,             0
L2WAY_WAY_HIT_pct,         -nan
L2WAY_WAY_HIT_total_count,             0
L2WAY_WAY_HIT_total_pct,         -nan

L2WAY_WAY_MISS_count,             0
L2WAY_WAY_MISS_pct,         -nan
L2WAY_WAY_MISS_total_count,             0
L2WAY_WAY_MISS_total_pct,         -nan
L2WAY_WAY_MISS_sum_count,             0
L2WAY_WAY_MISS_sum_pct,         -nan
L2WAY_WAY_MISS_sum_total_count,             0
L2WAY_WAY_MISS_sum_total_pct,         -nan
L2WAY_WAY_MISS_mean,         -nan
L2WAY_WAY_MISS_stddev,         -nan
L2WAY_WAY_MISS_total_mean,         -nan
L2WAY_WAY_MISS_total_stddev,         -nan

L2WAY_PREF_REQ_count,             0
L2WAY_PREF_REQ_total_count,             0

L2WAY_PREF_HIT_DATA_IN_CACHE_count,             0
L2WAY_PREF_HIT_DATA_IN_CACHE_pct,         -nan
L2WAY_PREF_HIT_DATA_IN_CACHE_total_count,             0
L2WAY_PREF_HIT_DATA_IN_CACHE_total_pct,         -nan

L2WAY_PREF_HIT_DATA_REQ_count,             0
L2WAY_PREF_HIT_DATA_REQ_pct,         -nan
L2WAY_PREF_HIT_DATA_REQ_total_count,             0
L2WAY_PREF_HIT_DATA_REQ_total_pct,         -nan
L2WAY_PREF_HIT_DATA_REQ_sum_count,             0
L2WAY_PREF_HIT_DATA_REQ_sum_pct,         -nan
L2WAY_PREF_HIT_DATA_REQ_sum_total_count,             0
L2WAY_PREF_HIT_DATA_REQ_sum_total_pct,         -nan
L2WAY_PREF_HIT_DATA_REQ_mean,         -nan
L2WAY_PREF_HIT_DATA_REQ_stddev,         -nan
L2WAY_PREF_HIT_DATA_REQ_total_mean,         -nan
L2WAY_PREF_HIT_DATA_REQ_total_stddev,         -nan

L2WAY_TRAIN_HIT_count,             0
L2WAY_TRAIN_HIT_pct,         -nan
L2WAY_TRAIN_HIT_total_count,             0
L2WAY_TRAIN_HIT_total_pct,         -nan

L2WAY_TRAIN_MISS_count,             0
L2WAY_TRAIN_MISS_pct,         -nan
L2WAY_TRAIN_MISS_total_count,             0
L2WAY_TRAIN_MISS_total_pct,         -nan
L2WAY_TRAIN_MISS_sum_count,             0
L2WAY_TRAIN_MISS_sum_pct,         -nan
L2WAY_TRAIN_MISS_sum_total_count,             0
L2WAY_TRAIN_MISS_sum_total_pct,         -nan
L2WAY_TRAIN_MISS_mean,         -nan
L2WAY_TRAIN_MISS_stddev,         -nan
L2WAY_TRAIN_MISS_total_mean,         -nan
