Scarab gitrev: d92c720
starlab_do_write is: 1
Scarab started at Thu Jan  2 21:12:35 2025

Initialized Ramulator. 
XED decode error for 0xffffffffa22137a9: GENERAL_ERROR 5, replacing with nop
XED decode error for 0xffffffffa2bbd7ce: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd7d4: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd7dd: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd7e7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd7f0: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd7f9: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd802: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd80b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd814: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd819: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd822: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd82b: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd834: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd83d: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd846: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd84f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd858: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd861: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd86a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd86f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd878: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd881: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd88a: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd88f: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd895: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd89e: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd8a7: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd8ad: BUFFER_TOO_SHORT 2, replacing with nop
XED decode error for 0xffffffffa2bbd8b2: BUFFER_TOO_SHORT 2, replacing with nop
