Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:27:19 2024

Initialized Ramulator. 
Address in frontend: 000055B6B3828478, Iclass: MOV
Address in frontend: 000055B6B382847C, Iclass: MOV
Address in frontend: 000055B6B3828480, Iclass: MOV
Address in frontend: 000055B6B3828484, Iclass: MOV
Address in frontend: 000055B6B3828488, Iclass: MOV
Address in frontend: 000055B6B382848C, Iclass: ALU
Address in frontend: 000055B6B3828495, Iclass: JUMP
Address in frontend: 000055B6B3828497, Iclass: MOV
Address in frontend: 000055B6B382849B, Iclass: ALU
Address in frontend: 000055B6B382849C, Iclass: POP
Address in frontend: 000055B6B53B0505, Iclass: JUMP
Address in frontend: 000055B6B53B0508, Iclass: JUMP
Address in frontend: 000055B6B53B07A0, Iclass: ALU
Address in frontend: 000055B6B53B07A3, Iclass: JUMP
Address in frontend: 000055B6B53B07A9, Iclass: ALU
Address in frontend: 000055B6B53B07AC, Iclass: JUMP
Address in frontend: 000055B6B53B07B2, Iclass: ALU
Address in frontend: 000055B6B53B07B6, Iclass: JUMP
Address in frontend: 000055B6B53B0579, Iclass: MOV
Address in frontend: 000055B6B53B057C, Iclass: ALU
Address in frontend: 000055B6B53B0583, Iclass: MOV
Address in frontend: 000055B6B53B0586, Iclass: MOV
Address in frontend: 000055B6B53B058A, Iclass: CALL
Address in frontend: 000055B6B5344410, Iclass: PUSH
Address in frontend: 000055B6B5344411, Iclass: MOV
Address in frontend: 000055B6B5344414, Iclass: PUSH
Address in frontend: 000055B6B5344416, Iclass: PUSH
Address in frontend: 000055B6B5344418, Iclass: PUSH
Address in frontend: 000055B6B5344419, Iclass: MOV
Address in frontend: 000055B6B534441C, Iclass: ALU
Address in frontend: 000055B6B5344420, Iclass: MOV
Address in frontend: 000055B6B5344423, Iclass: ALU
Address in frontend: 000055B6B5344428, Iclass: JUMP
Address in frontend: 000055B6B534442E, Iclass: MOV
Address in frontend: 000055B6B5344433, Iclass: ALU
Address in frontend: 000055B6B5344438, Iclass: MOV
Address in frontend: 000055B6B534443E, Iclass: ALU
Address in frontend: 000055B6B5344445, Iclass: ALU
Address in frontend: 000055B6B5344449, Iclass: MOV
Address in frontend: 000055B6B534444C, Iclass: ALU
Address in frontend: 000055B6B5344450, Iclass: ALU
Address in frontend: 000055B6B5344453, Iclass: JUMP
Address in frontend: 000055B6B5344471, Iclass: ALU
Address in frontend: 000055B6B5344475, Iclass: MOV
Address in frontend: 000055B6B5344479, Iclass: ALU
Address in frontend: 000055B6B534447B, Iclass: JUMP
Address in frontend: 000055B6B5344458, Iclass: ALU
Address in frontend: 000055B6B534445C, Iclass: ALU
Address in frontend: 000055B6B5344460, Iclass: ALU
Address in frontend: 000055B6B5344465, Iclass: JUMP
Address in frontend: 000055B6B5344490, Iclass: MOV
Address in frontend: 000055B6B5344494, Iclass: ALU
Address in frontend: 000055B6B5344497, Iclass: JUMP
Address in frontend: 000055B6B5344499, Iclass: MOV
Address in frontend: 000055B6B534449C, Iclass: ALU
Address in frontend: 000055B6B534449F, Iclass: JUMP
Address in frontend: 000055B6B53444A1, Iclass: ALU
Address in frontend: 000055B6B53444A3, Iclass: MOV
Address in frontend: 000055B6B53444A7, Iclass: MOV
Address in frontend: 000055B6B53444AB, Iclass: JUMP
Address in frontend: 000055B6B53444AD, Iclass: MOV
Address in frontend: 000055B6B53444B0, Iclass: ALU
Address in frontend: 000055B6B53444B3, Iclass: ALU
Address in frontend: 000055B6B53444BB, Iclass: JUMP
Address in frontend: 000055B6B53444CD, Iclass: MOV
Address in frontend: 000055B6B53444D0, Iclass: ALU
Address in frontend: 000055B6B53444D5, Iclass: ALU
Address in frontend: 000055B6B53444D8, Iclass: JUMP
Address in frontend: 000055B6B53444DA, Iclass: ALU
Address in frontend: 000055B6B53444DD, Iclass: ALU
Address in frontend: 000055B6B53444E0, Iclass: JUMP
Address in frontend: 000055B6B53444E2, Iclass: ALU
Address in frontend: 000055B6B53444E6, Iclass: ALU
Address in frontend: 000055B6B53444EB, Iclass: POP
Address in frontend: 000055B6B53444EC, Iclass: POP
Address in frontend: 000055B6B53444EE, Iclass: POP
Address in frontend: 000055B6B53444F0, Iclass: POP
Address in frontend: 000055B6B53444F1, Iclass: POP
Address in frontend: 000055B6B53B0591, Iclass: ALU
Address in frontend: 000055B6B53B0594, Iclass: MOV
Address in frontend: 000055B6B53B0597, Iclass: JUMP
Address in frontend: 000055B6B53B059D, Iclass: ALU
Address in frontend: 000055B6B53B05A0, Iclass: MOV
Address in frontend: 000055B6B53B05A4, Iclass: ALU
Address in frontend: 000055B6B53B05A6, Iclass: JUMP
Address in frontend: 000055B6B53B05AC, Iclass: ALU
Address in frontend: 000055B6B53B05AE, Iclass: JUMP
Address in frontend: 000055B6B53B05B4, Iclass: ALU
Address in frontend: 000055B6B53B05B6, Iclass: MOV
Address in frontend: 000055B6B53B05B9, Iclass: MOV
Address in frontend: 000055B6B53B05BD, Iclass: ALU
Address in frontend: 000055B6B53B05C6, Iclass: JUMP
Address in frontend: 000055B6B53B05CC, Iclass: ALU
Address in frontend: 000055B6B53B05D0, Iclass: POP
Address in frontend: 000055B6B53B05D1, Iclass: POP
Address in frontend: 000055B6B53B05D3, Iclass: POP
Address in frontend: 000055B6B53B05D5, Iclass: POP
Address in frontend: 000055B6B53B05D7, Iclass: POP
Address in frontend: 000055B6B53B05D9, Iclass: POP
Address in frontend: 000055B6B53B05DA, Iclass: POP
Address in frontend: 000055B6B53B0442, Iclass: POP
Address in frontend: 000055B6B53B0443, Iclass: MOV
Address in frontend: 000055B6B53B0446, Iclass: POP
Address in frontend: 000055B6B33C9B71, Iclass: MOV
Address in frontend: 000055B6B33C9B74, Iclass: PUSH
Address in frontend: 000055B6B33C9B76, Iclass: PUSH
Address in frontend: 000055B6B33C9B78, Iclass: PUSH
Address in frontend: 000055B6B33C9B7A, Iclass: PUSH
Address in frontend: 000055B6B33C9B7B, Iclass: MOV
Address in frontend: 000055B6B33C9B7E, Iclass: MOV
Address in frontend: 000055B6B33C9B81, Iclass: ALU
Address in frontend: 000055B6B33C9B85, Iclass: MOV
Address in frontend: 000055B6B33C9B89, Iclass: MOV
Address in frontend: 000055B6B33C9B8B, Iclass: ALU
Address in frontend: 000055B6B33C9B8E, Iclass: ALU
Address in frontend: 000055B6B33C9B90, Iclass: JUMP
Address in frontend: 000055B6B33C9CC0, Iclass: ALU
Address in frontend: 000055B6B33C9CC2, Iclass: JUMP
Address in frontend: 000055B6B33C9CC4, Iclass: MOV
Address in frontend: 000055B6B33C9CC9, Iclass: ALU
Address in frontend: 000055B6B33C9CCE, Iclass: JUMP
Address in frontend: 000055B6B33C9CD4, Iclass: MOV
Address in frontend: 000055B6B33C9CD7, Iclass: ALU
Address in frontend: 000055B6B33C9CDB, Iclass: ALU
Address in frontend: 000055B6B33C9CE3, Iclass: ALU
Address in frontend: 000055B6B33C9CE7, Iclass: MOV
Address in frontend: 000055B6B33C9CEC, Iclass: MOV
Address in frontend: 000055B6B33C9CEF, Iclass: ALU
Address in frontend: 000055B6B33C9CF3, Iclass: ALU
Address in frontend: 000055B6B33C9CF6, Iclass: JUMP
Address in frontend: 000055B6B33C9D1E, Iclass: ALU
Address in frontend: 000055B6B33C9D22, Iclass: MOV
Address in frontend: 000055B6B33C9D26, Iclass: ALU
Address in frontend: 000055B6B33C9D28, Iclass: JUMP
Address in frontend: 000055B6B33C9D00, Iclass: MOV
Address in frontend: 000055B6B33C9D03, Iclass: ALU
Address in frontend: 000055B6B33C9D07, Iclass: ALU
Address in frontend: 000055B6B33C9D0B, Iclass: ALU
Address in frontend: 000055B6B33C9D0E, Iclass: JUMP
Address in frontend: 000055B6B33C9D14, Iclass: ALU
Address in frontend: 000055B6B33C9D17, Iclass: ALU
Address in frontend: 000055B6B33C9D1B, Iclass: ALU
Address in frontend: 000055B6B33C9E90, Iclass: MOV
Address in frontend: 000055B6B33C9E93, Iclass: ALU
Address in frontend: 000055B6B33C9E96, Iclass: JUMP
Address in frontend: 000055B6B33C9E98, Iclass: MOV
Address in frontend: 000055B6B33C9E9D, Iclass: ALU
Address in frontend: 000055B6B33C9EA1, Iclass: JUMP
Address in frontend: 000055B6B33C9EA7, Iclass: ALU
Address in frontend: 000055B6B33C9EAA, Iclass: MOV
Address in frontend: 000055B6B33C9EAE, Iclass: MOV
Address in frontend: 000055B6B33C9EB3, Iclass: JUMP
Address in frontend: 000055B6B33C9EB9, Iclass: MOV
Address in frontend: 000055B6B33C9EBC, Iclass: ALU
Address in frontend: 000055B6B33C9EBF, Iclass: ALU
Address in frontend: 000055B6B33C9EC7, Iclass: JUMP
