Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 07:57:49 2024

Initialized Ramulator. 
Address in frontend: 00007F91A7E11BF9, Iclass: ALU
Address in frontend: 00007F91A7E11BFF, Iclass: JUMP
Address in frontend: 00007F91A7E11C01, Iclass: MOV
Address in frontend: 00007F91A7E11C04, Iclass: MOV
Address in frontend: 00007F91A7E11C08, Iclass: CALL
Address in frontend: 00007F91A7E2D740, Iclass: ALU
Address in frontend: 00007F91A7E2D746, Iclass: JUMP
Address in frontend: 00007F91A7E2D748, Iclass: MOV
Address in frontend: 00007F91A7E2D750, Iclass: MOV
Address in frontend: 00007F91A7E2D753, Iclass: ALU
Address in frontend: 00007F91A7E2D757, Iclass: LOCK
Address in frontend: 00007F91A7E2D762, Iclass: JUMP
Address in frontend: 00007F91A7E2D764, Iclass: MOV
Address in frontend: 00007F91A7E2D767, Iclass: ALU
Address in frontend: 00007F91A7E2D76A, Iclass: ALU
Address in frontend: 00007F91A7E2D76D, Iclass: JUMP
Address in frontend: 00007F91A7E2D76F, Iclass: POP
Address in frontend: 00007F91A7E11C0D, Iclass: MOV
Address in frontend: 00007F91A7E11C11, Iclass: ALU
Address in frontend: 00007F91A7E11C15, Iclass: POP
Address in frontend: 00007F91A7E11C16, Iclass: POP
Address in frontend: 00007F91A7E11C17, Iclass: POP
Address in frontend: 00007F91A7E11C19, Iclass: POP
Address in frontend: 00005647AB932F31, Iclass: ALU
Address in frontend: 00005647AB932F33, Iclass: JUMP
Address in frontend: 00005647AB932F35, Iclass: ALU
Address in frontend: 00005647AB932F38, Iclass: ALU
Address in frontend: 00005647AB932F3B, Iclass: JUMP
Address in frontend: 00005647AB932ED0, Iclass: MOV
Address in frontend: 00005647AB932ED4, Iclass: MOV
Address in frontend: 00005647AB932ED8, Iclass: MOV
Address in frontend: 00005647AB932EDB, Iclass: MOV
Address in frontend: 00005647AB932EDD, Iclass: CALL
Address in frontend: 00005647A880B750, Iclass: JUMP
Address in frontend: 00007F91ADED77D0, Iclass: MOV
Address in frontend: 00007F91ADED77D6, Iclass: MOV
Address in frontend: 00007F91ADED77D9, Iclass: ALU
Address in frontend: 00007F91ADED77DB, Iclass: JUMP
Address in frontend: 00007F91ADED77F8, Iclass: PUSH
Address in frontend: 00007F91ADED77FA, Iclass: PUSH
Address in frontend: 00007F91ADED77FC, Iclass: MOV
Address in frontend: 00007F91ADED77FF, Iclass: PUSH
Address in frontend: 00007F91ADED7801, Iclass: PUSH
Address in frontend: 00007F91ADED7802, Iclass: MOV
Address in frontend: 00007F91ADED7805, Iclass: PUSH
Address in frontend: 00007F91ADED7806, Iclass: MOV
Address in frontend: 00007F91ADED7809, Iclass: MOV
Address in frontend: 00007F91ADED780B, Iclass: ALU
Address in frontend: 00007F91ADED780F, Iclass: CALL
Address in frontend: 00007F91ADED7000, Iclass: MOV
Address in frontend: 00007F91ADED7008, Iclass: MOV
Address in frontend: 00007F91ADED700B, Iclass: ALU
Address in frontend: 00007F91ADED700F, Iclass: ALU
Address in frontend: 00007F91ADED7012, Iclass: JUMP
Address in frontend: 00007F91ADED7014, Iclass: LOCK
Address in frontend: 00007F91ADED701F, Iclass: JUMP
Address in frontend: 00007F91ADED7021, Iclass: ALU
Address in frontend: 00007F91ADED7025, Iclass: ALU
Address in frontend: 00007F91ADED7029, Iclass: JUMP
Address in frontend: 00007F91ADED702B, Iclass: POP
Address in frontend: 00007F91ADED7814, Iclass: ALU
Address in frontend: 00007F91ADED7817, Iclass: MOV
Address in frontend: 00007F91ADED7819, Iclass: ALU
Address in frontend: 00007F91ADED781C, Iclass: MOV
Address in frontend: 00007F91ADED781F, Iclass: MOV
Address in frontend: 00007F91ADED7822, Iclass: MOV
Address in frontend: 00007F91ADED7825, Iclass: MOV
Address in frontend: 00007F91ADED7827, Iclass: MOV
Address in frontend: 00007F91ADED782C, Iclass: JUMP
Address in frontend: 00007F91ADED782E, Iclass: ALU
Address in frontend: 00007F91ADED7834, Iclass: JUMP
Address in frontend: 00007F91ADED7836, Iclass: MOV
Address in frontend: 00007F91ADED7838, Iclass: MOV
Address in frontend: 00007F91ADED783D, Iclass: CALL
Address in frontend: 00007F91ADED7060, Iclass: ALU
Address in frontend: 00007F91ADED7066, Iclass: JUMP
Address in frontend: 00007F91ADED7068, Iclass: MOV
Address in frontend: 00007F91ADED7070, Iclass: MOV
Address in frontend: 00007F91ADED7073, Iclass: ALU
Address in frontend: 00007F91ADED7077, Iclass: LOCK
Address in frontend: 00007F91ADED7082, Iclass: JUMP
Address in frontend: 00007F91ADED7084, Iclass: MOV
Address in frontend: 00007F91ADED7087, Iclass: ALU
Address in frontend: 00007F91ADED708A, Iclass: ALU
Address in frontend: 00007F91ADED708D, Iclass: JUMP
Address in frontend: 00007F91ADED708F, Iclass: POP
Address in frontend: 00007F91ADED7842, Iclass: MOV
Address in frontend: 00007F91ADED7847, Iclass: ALU
Address in frontend: 00007F91ADED784B, Iclass: POP
Address in frontend: 00007F91ADED784C, Iclass: POP
Address in frontend: 00007F91ADED784D, Iclass: POP
Address in frontend: 00007F91ADED784F, Iclass: POP
Address in frontend: 00007F91ADED7851, Iclass: POP
Address in frontend: 00007F91ADED7853, Iclass: POP
Address in frontend: 00005647AB932EE2, Iclass: ALU
Address in frontend: 00005647AB932EE6, Iclass: MOV
Address in frontend: 00005647AB932EE9, Iclass: JUMP
Address in frontend: 00005647AB932F47, Iclass: MOV
Address in frontend: 00005647AB932F4B, Iclass: ALU
Address in frontend: 00005647AB932F54, Iclass: MOV
Address in frontend: 00005647AB932F57, Iclass: JUMP
Address in frontend: 00005647AB932F59, Iclass: ALU
Address in frontend: 00005647AB932F5D, Iclass: POP
Address in frontend: 00005647AB932F5E, Iclass: POP
Address in frontend: 00005647AB932F60, Iclass: POP
Address in frontend: 00005647AB932F62, Iclass: POP
Address in frontend: 00005647AB932F64, Iclass: POP
Address in frontend: 00005647AB932F66, Iclass: POP
Address in frontend: 00005647AB932F67, Iclass: POP
Address in frontend: 00005647AB932C75, Iclass: MOV
Address in frontend: 00005647AB932C78, Iclass: ALU
Address in frontend: 00005647AB932C7C, Iclass: ALU
Address in frontend: 00005647AB932C80, Iclass: JUMP
Address in frontend: 00005647AB932C82, Iclass: ALU
Address in frontend: 00005647AB932C85, Iclass: MOV
Address in frontend: 00005647AB932C8D, Iclass: JUMP
Address in frontend: 00005647AB932C8F, Iclass: ALU
Address in frontend: 00005647AB932C93, Iclass: ALU
Address in frontend: 00005647AB932C96, Iclass: MOV
Address in frontend: 00005647AB932C9E, Iclass: MOV
Address in frontend: 00005647AB932CA1, Iclass: MOV
Address in frontend: 00005647AB932CA9, Iclass: ALU
Address in frontend: 00005647AB932CAC, Iclass: MOV
Address in frontend: 00005647AB932CAE, Iclass: JUMP
Address in frontend: 00005647AB932CB0, Iclass: ALU
Address in frontend: 00005647AB932CB3, Iclass: JUMP
Address in frontend: 00005647AB932D70, Iclass: MOV
Address in frontend: 00005647AB932D72, Iclass: MOV
Address in frontend: 00005647AB932D75, Iclass: MOV
Address in frontend: 00005647AB932D79, Iclass: MOV
Address in frontend: 00005647AB932D7E, Iclass: JUMP
Address in frontend: 00005647AB932CCC, Iclass: MOV
Address in frontend: 00005647AB932CCF, Iclass: POP
Address in frontend: 00005647AB932CD0, Iclass: POP
Address in frontend: 00005647AB932CD2, Iclass: POP
