Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 10:52:33 2024

Initialized Ramulator. 
Address in frontend: 00007FAF87E3ABF9, Iclass: ALU
Address in frontend: 00007FAF87E3ABFF, Iclass: JUMP
Address in frontend: 00007FAF87E3AC01, Iclass: MOV
Address in frontend: 00007FAF87E3AC04, Iclass: MOV
Address in frontend: 00007FAF87E3AC08, Iclass: CALL
Address in frontend: 00007FAF87E56740, Iclass: ALU
Address in frontend: 00007FAF87E56746, Iclass: JUMP
Address in frontend: 00007FAF87E56748, Iclass: MOV
Address in frontend: 00007FAF87E56750, Iclass: MOV
Address in frontend: 00007FAF87E56753, Iclass: ALU
Address in frontend: 00007FAF87E56757, Iclass: LOCK
Address in frontend: 00007FAF87E56762, Iclass: JUMP
Address in frontend: 00007FAF87E56764, Iclass: MOV
Address in frontend: 00007FAF87E56767, Iclass: ALU
Address in frontend: 00007FAF87E5676A, Iclass: ALU
Address in frontend: 00007FAF87E5676D, Iclass: JUMP
Address in frontend: 00007FAF87E5676F, Iclass: POP
Address in frontend: 00007FAF87E3AC0D, Iclass: MOV
Address in frontend: 00007FAF87E3AC11, Iclass: ALU
Address in frontend: 00007FAF87E3AC15, Iclass: POP
Address in frontend: 00007FAF87E3AC16, Iclass: POP
Address in frontend: 00007FAF87E3AC17, Iclass: POP
Address in frontend: 00007FAF87E3AC19, Iclass: POP
Address in frontend: 000055DECEF69F31, Iclass: ALU
Address in frontend: 000055DECEF69F33, Iclass: JUMP
Address in frontend: 000055DECEF69F35, Iclass: ALU
Address in frontend: 000055DECEF69F38, Iclass: ALU
Address in frontend: 000055DECEF69F3B, Iclass: JUMP
Address in frontend: 000055DECEF69ED0, Iclass: MOV
Address in frontend: 000055DECEF69ED4, Iclass: MOV
Address in frontend: 000055DECEF69ED8, Iclass: MOV
Address in frontend: 000055DECEF69EDB, Iclass: MOV
Address in frontend: 000055DECEF69EDD, Iclass: CALL
Address in frontend: 000055DECBE42750, Iclass: JUMP
Address in frontend: 00007FAF8DF007D0, Iclass: MOV
Address in frontend: 00007FAF8DF007D6, Iclass: MOV
Address in frontend: 00007FAF8DF007D9, Iclass: ALU
Address in frontend: 00007FAF8DF007DB, Iclass: JUMP
Address in frontend: 00007FAF8DF007F8, Iclass: PUSH
Address in frontend: 00007FAF8DF007FA, Iclass: PUSH
Address in frontend: 00007FAF8DF007FC, Iclass: MOV
Address in frontend: 00007FAF8DF007FF, Iclass: PUSH
Address in frontend: 00007FAF8DF00801, Iclass: PUSH
Address in frontend: 00007FAF8DF00802, Iclass: MOV
Address in frontend: 00007FAF8DF00805, Iclass: PUSH
Address in frontend: 00007FAF8DF00806, Iclass: MOV
Address in frontend: 00007FAF8DF00809, Iclass: MOV
Address in frontend: 00007FAF8DF0080B, Iclass: ALU
Address in frontend: 00007FAF8DF0080F, Iclass: CALL
Address in frontend: 00007FAF8DF00000, Iclass: MOV
Address in frontend: 00007FAF8DF00008, Iclass: MOV
Address in frontend: 00007FAF8DF0000B, Iclass: ALU
Address in frontend: 00007FAF8DF0000F, Iclass: ALU
Address in frontend: 00007FAF8DF00012, Iclass: JUMP
Address in frontend: 00007FAF8DF00014, Iclass: LOCK
Address in frontend: 00007FAF8DF0001F, Iclass: JUMP
Address in frontend: 00007FAF8DF00021, Iclass: ALU
Address in frontend: 00007FAF8DF00025, Iclass: ALU
Address in frontend: 00007FAF8DF00029, Iclass: JUMP
Address in frontend: 00007FAF8DF0002B, Iclass: POP
Address in frontend: 00007FAF8DF00814, Iclass: ALU
